MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20,5,69.30579531442663,11622,1,1,1,1,13,2,1,1,5,6,1961,1961,2,15,15,0,0.0,3,3,2,3,3,4,4,468.0,5,144.0,270.0,882.0,3,896,0,896,0.0,0.0,1,0,2,3,5,1,0,0,2,1961.0,3,1.0,730.0,3,3,1,140,0,0,0,120,2,0,6,2010,1,1,
20,6,69.30579531442663,14267,2,1,2,1,13,3,1,1,6,6,1958,1958,4,16,16,2,108.0,3,3,2,3,3,4,2,923.0,6,0.0,406.0,1329.0,3,1329,0,1329,0.0,0.0,1,1,3,2,6,1,0,0,2,1958.0,3,1.0,312.0,3,3,1,393,36,0,0,0,0,2,6,2010,1,1,
60,6,69.30579531442663,13830,2,1,1,1,9,3,1,3,5,5,1997,1998,2,15,15,0,0.0,3,3,3,2,3,4,1,791.0,6,0.0,137.0,928.0,2,928,701,1629,0.0,0.0,2,1,3,3,6,1,1,3,2,1997.0,1,2.0,482.0,3,3,1,212,34,0,0,0,2,0,3,2010,1,1,
60,6,69.30579531442663,9978,2,1,1,1,9,3,1,3,6,6,1998,1998,2,15,15,2,20.0,3,3,3,3,3,4,1,602.0,6,0.0,324.0,926.0,1,926,678,1604,0.0,0.0,2,1,3,2,7,1,1,2,2,1998.0,1,2.0,470.0,3,3,1,360,36,0,0,0,0,0,6,2010,1,1,
120,6,69.30579531442663,5005,2,3,1,1,23,3,4,1,8,5,1992,1992,2,7,7,0,0.0,2,3,3,2,3,4,2,263.0,6,0.0,1017.0,1280.0,1,1280,0,1280,0.0,0.0,2,0,2,2,5,1,0,0,2,1992.0,2,2.0,506.0,3,3,1,0,82,0,0,144,0,0,1,2010,1,1,
60,6,69.30579531442663,10000,2,1,2,1,9,3,1,3,6,5,1993,1994,2,7,7,0,0.0,3,3,3,2,3,4,6,0.0,6,0.0,763.0,763.0,2,763,892,1655,0.0,0.0,2,1,3,3,7,1,1,3,2,1993.0,1,2.0,440.0,3,3,1,157,84,0,0,0,0,0,4,2010,1,1,
20,6,69.30579531442663,7980,2,1,1,1,9,3,1,1,6,7,1992,2007,2,7,7,0,0.0,3,2,3,2,3,4,2,935.0,6,0.0,233.0,1168.0,1,1187,0,1187,1.0,0.0,2,0,3,3,6,1,0,0,2,1992.0,1,2.0,420.0,3,3,1,483,21,0,0,0,1,4,3,2010,1,1,
60,6,69.30579531442663,8402,2,1,1,1,9,3,1,3,6,5,1998,1998,2,15,15,0,0.0,3,3,3,2,3,4,6,0.0,6,0.0,789.0,789.0,2,789,676,1465,0.0,0.0,2,1,3,3,7,1,1,2,2,1998.0,1,2.0,393.0,3,3,1,0,75,0,0,0,0,0,5,2010,1,1,
20,6,69.30579531442663,10176,1,1,1,1,9,3,1,1,7,5,1990,1990,2,7,7,0,0.0,3,3,3,2,3,1,1,637.0,6,0.0,663.0,1300.0,2,1341,0,1341,1.0,0.0,1,1,2,2,5,1,1,5,2,1990.0,3,2.0,506.0,3,3,1,192,0,0,0,0,0,0,2,2010,1,1,
20,6,69.30579531442663,8400,1,1,2,1,13,3,1,1,4,5,1970,1970,2,11,11,0,0.0,3,3,2,3,3,4,2,804.0,4,78.0,0.0,882.0,3,882,0,882,1.0,0.0,1,0,2,3,4,1,0,0,2,1970.0,1,2.0,525.0,3,3,1,240,0,0,0,0,2,0,4,2010,1,1,
